log;nome;cnpj;status;endereco;cidade;estado;anotacao;telefone;email;instagram;site;decisor;telefone_decisor;marcadores;mesorregiao;
;HANA BEAUTY;17.508.504/0001-10;Descoberto;AVENIDA GETULIO VARGAS, 1089 - CALMON VIANA - POÁ/SP 08560-000;;SP;CILIOS;1147220101;hanabeauty@hanabeauty.com.br;https://www.instagram.com/hanabeautyoficial/;https://www.hanabeauty.com.br/;juliano;+55 (11) 4975-7100;12;Metropolitada São Paulo;
;VILLE COMERCIO DE COSMETICOS LTDA;02.167.473/0001-03;Descoberto;RUA ARTICO, 70 - GRANJA VIANA II - COTIA/SP 06707-070;;SP;TRIO;15997630428;informatica@villelog.com.br;https://www.instagram.com/ville.cosmeticos/;não tem ;roberto;+55 (11) 3197-2888;12;Metropolitada São Paulo;
;AKAI COSMETICOS - MAGAZINE;27.212.630/0001-86;Descoberto;PRACA BARAO DO RIO BRANCO, 82 - CENTRO - SÃO VICENTE/SP 11310-000;;SP;TRIO;13998023076;kotobuki@uol.com.br;https://www.instagram.com/akaicosmeticos/?hl=pt-br;https://www.akaicosmeticos.com.br/produto/busca/?q=ALICATE&submit=;EMERSON;+55 (11) 4647-0486;12;Metropolitada São Paulo;
;DELA DISTRIBUIDORA DE COSMETICOS;07.836.573/0001-07;Descoberto;RUA DR. CARVALHO DE MENDONCA, 289 - VILA BELMIRO - SANTOS/SP 11070-101;;SP;TRIO ;13997120966;xmlabassessoria@gmail.com;https://www.instagram.com/dellacosmeticosoficial/;https://www.dellacosmeticos.com.br/;ADELAIDE;13997120966;12;Metropolitada São Paulo;
;190 COSMETICOS;05.562.193/0001-98;Descoberto;AVENIDA PRESIDENTE COSTA E SILVA, 822 - BOQUEIRAO - PRAIA GRANDE/SP 11700-005;;SP;TRIO;13997112498;atendimento@190cosmeticos.com.br;https://www.instagram.com/190cosmeticos/;NÃO TEM ;CLEIRE;+55 (13) 3473-7444;12;Metropolitada São Paulo;
;MASTER BELEZA;37.020.727/0001-40;Descoberto;AVENIDA DAS NACOES, 751 - PARQUE NOVO ORATORIO - SANTO ANDRÉ/SP 09260-000;;SP;trio;11945424484;masterbeleza.atendimento@gmail.com;https://www.instagram.com/master.beleza/;https://masterbeleza.com.br/;bruno;(11) 98625-4605;12;Metropolitada São Paulo;
;UPBEL COSMETICOS;37.844.071/0001-80;Descoberto; RUA WENCESLAU RICHTER, 50 - SANTA TEREZINHA - SÃO BERNARDO DO CAMPO/SP 09781-280;;SP;trio;11945418519;não tem;https://www.instagram.com/upbelcosmeticos/;não tem ;alfeu;(15) 99123-3008;12;Metropolitada São Paulo;
;MAIS VAIDOSA COSMETICOS LTDA;16.863.271/0001-00;Descoberto;RUA MANOEL AUGUSTO FERREIRINHA, 423 - NOVA GERTY - SÃO CAETANO DO SUL/SP 09580-020;;SP;trio;1142380960;contato@maisvaidosa.com.br;https://www.instagram.com/maisvaidosa/;https://linktr.ee/maisvaidosa_oficial;renata;+55 (11) 4238-0960;12;Metropolitada São Paulo;
;ROSALIA COSMETICOS;30.888.256/0001-48;Descoberto;AVENIDA TANCREDO NEVES, 975 - CACHOEIRA - GUARUJÁ/SP 11435-000;;SP;trio;13988517891;rosaliarodrigues734@gmail.com;https://www.instagram.com/rosaliacosmeticos/;não tem ;rosalia;(13) 98851-7891;12;Metropolitada São Paulo;
;CASA BELLEZA GUARULHOS;41.739.271/0001-40;Descoberto;PRACA TEREZA CRISTINA, 245 - CENTRO - GUARULHOS/SP 07023-070;;SP;trio ;+55 (11) 4386-0760;dvasscont@uol.com.br;https://www.instagram.com/casabellezaguarulhos/;não tem ;ruxiang;+55 (11) 3277-2393;12;Metropolitada São Paulo;
;MILCY COSMETICOS LTDA;31.863.783/0001-60;Descoberto;RUA ADOLFO LAVES, 230 - VILA VALPARAISO - SANTO ANDRÉ/SP 09060-390;;SP;TRIO;+55 (11) 4220-4537;milton7dmj@gmail.com;https://www.instagram.com/milcy.cosmeticos/;NÃO TEM ;MILTON E NILCE;(15) 99839-9519;13;Metropolitada São Paulo;
;ONNIX COSMETICOS;00.978.917/0001-65;Descoberto;AVENIDA RUI BARBOSA, 367 - CENTRO - CARAPICUÍBA/SP 06311-000;;SP;TRIO;+55 (11) 4184-6745;contato@onnixcosmetico.com.br;https://instagram.com/onnixcosmeticosoficial/;NÃO TEM ;LEILA OU LETICIA ;(11) 98394-3471;13;Metropolitada São Paulo;
;AKAI COSMETICOS - MAGAZINE;27.212.630/0001-86;Descoberto;;;SP;;13998023076;kotobuki@uol.com.br;https://www.instagram.com/akaicosmeticos/?hl=pt-br;https://www.akaicosmeticos.com.br/produto/busca/?q=ALICATE&submit=;EMERSON;+55 (11) 4647-0486;13;Metropolitada São Paulo;
;PACADI COMERCIO DE COSMETICOS LTDA;69.140.077/0001-63;Descoberto;AVENIDA PAULO AYRES, 470 - PARQUE PINHEIROS - TABOÃO DA SERRA/SP 06767-220;;SP;TRIO;𝟏𝟏 𝟗𝟗𝟗𝟓𝟓𝟏𝟗𝟑𝟏;NÃO TEM ;https://www.instagram.com/pacadi.cosmeticos/;NÃO TEM ;LUCINETE;+55 (11) 4701-3546;13;Metropolitada São Paulo;
;MEILIY COSMETICOS PG LTDA;16.800.786/0001-61;Descoberto;AVENIDA PRESIDENTE COSTA E SILVA, 396 - BOQUEIRAO - PRAIA GRANDE/SP 11701-000;;SP;TRIO;1333967888;parisperfumaria@outlook.com.br;https://www.instagram.com/meiliycosmeticos/;NÃO TEM ;THIAGO;(13) 98125-1849;13;Metropolitada São Paulo;
;HELCIAS WOMAN DISTRIBUIDORA LTDA;43.638.922/0001-31;Descoberto;RUA PEREIRA, 15 - PARQUE VIANA - BARUERI/SP 06449-070;;SP;TRIO ;11962596222;NÃO TEM ;https://www.instagram.com/helciaswoman/;NÃO TEM ;MILLA;(11) 96259-6222;13;Metropolitada São Paulo;
